Num,Pod Color,Name,Short Description,Episode
596,,El Carbon,Designed to release carbon monoxide to poison the air.,Leroy & Stitch
597,,Zirconia,Designed to compress mineral matter into high-quality gemstones.,Leroy & Stitch
598,,Gluteous,Designed to destroy fishing vessels.,Leroy & Stitch
599,,Tattoo,Designed to make tattoos.,Leroy & Stitch
600,Blue,Woops,"A purple, skinny, Stitch-like experiment with huge yellow buckteeth, a football-shaped head with three short white-tipped antennae and a short white-tipped tail. Designed to have all the powers of Stitch, but is a klutz who accidentally bumps into everything. The only thing he can say is, of course, ""Woops."" His one true purpose is being a valued member of Pleakley's bowling team (because the one thing he can actually do is knock things over, including bowling pins). He is the first prototype of Stitch and is a massive failure.","224, Leroy and Stitch"
601,Blue,Kixx,"A large, purple, muscular, beastly, Tasmanian Devil-like creature with bulky legs and torso, four strong arms with three fingers on each paw, a blue oval spot on each elbow, short ears, hardly any neck, a wide mouth, a round nose, and black eyes. Designed to be a bully with special kickboxing skills. His one true place is teaching kickboxing, and has his own instructional video entitled ""Kickboxing with Kixx"". He is voiced by Frank Welker.","103, Leroy & Stitch"
602,Blue,Sinker,"A small, purple shark-like experiment designed to destroy and sink enemy ships with its large dorsal fin. His one true place is at a Japanese restaurant where he uses his large fin to cut up vegetables and fillet fish for the chefs to make sushi.","124, Leroy and Stitch"
603,Yellow,Zap,"A bright yellow, living laser beam and has lightning-shaped antennae, dark blue eyes, and a small limbless dog-like body. He was caught by Gantu with the help of experiment 627 in ""627"", but was later rescued in ""Snafu"".","123, 226,Leroy and Stitch"
604,Yellow,Houdini,"A whitish-tan rabbit-like experiment with four brown spots on each elbow and knee, pink mark on his chest and stomach, purple markings on his back and ear tips and a little face with a small mouth, dark pink nose, and huge black eyes. Designed to make anything and himself disappear with a blink of his huge eyes, though he can also make them re-appear. His eyes are sensitive to intense light (i.e. camera flashes), which cause him to blink reflexively and randomly make surrounding objects or creatures disappear. He is named after Harry Houdini. His one true place is as a Hollywood magician. He was one of the twelve new pods found by Lilo and Stitch in ""Drowsy"". He is voiced by Rob Paulsen. In Leroy and Stitch, he is voiced by Tara Strong.","119, 226, Leroy and Stitch"
605,,Warpstron,Designed to warp you into the future.,Leroy & Stitch
606,Blue,Holio,"A small, red, chipmunk-like experiment with a large mouth, two thin antennae, and three thin back spines. Designed to create a matter-sucking black hole when he opens his mouth. His one true place is in construction, clearing up waste. He is voiced by Frank Welker.","116, Leroy & Stitch"
607,Blue,Launch,"A tan naked mole rat-like experiment with four spines on his back. Designed to warp the fabric of time and space, causing the entire universe to collapse upon itself. 607 itself never actually appeared in the series, but he was the pod on the sandcastle in 627. Rufus the Mole Rat was mistaken for this experiment in the Lilo & Stitch/Kim Possible crossover episode until Stitch identified him as not being one of the ""cousins"".","123, 208"
608,Yellow,Slugger,"A small, yellow, pterosaur-like experiment. Designed to deflect projectiles with his tail shaped like a baseball bat. His one true place is as a coaching assistant for Little League baseball.","139, Leroy & Stitch"
609,Red,Heat,"An orange doglike experiment with small eyes, a big mouth, small ears and a large black oval on his forehead. Seen in pod form in Stitch! The Movie. Designed to fire heat from the black oval in his forehead. Heat was used by Gantu to defeat Stitch but was defeated in ""Dupe"". He is rescued by Lilo and Stitch in ""Snafu"".","126, 226,Leroy and Stitch, Stitch! The Movie"
610,Blue,Witch,"A purple, ghost-like experiment with a white-striped witch hat extending from her head, a yellow heart-shaped mark on her white chest, and wavy arms similar to cloth. Designed to be an evil witch.",Leroy & Stitch
611,,El Fin,"Designed to make the universe implode when Jumba speaks the password. Fortunately, Jumba forgot the password. Called the ""ultimate super weapon"", Gantu thought that he had 611's pod in ""Houdini"" but he was actually reading 119's pod upside down. His original name was Doomsday, but this was changed due to a copyright issue.",119
612,,Blandzilla,Designed to terrorize cities.,Leroy & Stitch
613,Yellow,Yaarp,"A small, blue, lemur-like experiment with Drowsy-like ears, but with darker tips instead of stripes, four arms and a megaphone-like antenna on his head. Seen in pod form in Stitch! The Movie Designed to make a literally deafening sonic blast. After Pleakley captured him because Stitch could not, he named him with a word from his native planet. His one true place is as an alien invasion alarm and buzzer for Lilo's hula school. He also operates the scoreboard for the game show in ""Spike"".","Leroy & Stitch, Stitch! The Movie"
614,Green,Gunner,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to be really well with weapons and destroy everything.,Lilo & Stitch 2: Stitch Has a Glitch
615,,Yogee,Designed to build fatal booby traps in order to steal picnic baskets.,Leroy & Stitch
616,Red,Joey,Seen in pod form in Stitch! The Movie Designed to jump across planets.,Stitch! The Movie
617,Green,Plasmoid,"A large green scorpion-like creature with a pincer-less tail. Designed to shoot explosive balls of plasma from his tail. Plasmoid was used by Gantu to defeat Stitch but was defeated in ""Dupe"". He is rescued by Lilo and Stitch in ""Snafu"". Seen in pod form in Stitch! The Movie.","126, 226,Leroy and Stitch, Stitch! The Movie"
618,Purple,Crystallene,"A tall and thin purple Angel (624)-like experiment with long crossed, ears, a large nose, small eyes and a thin body. Designed to turn things into crystals, rubies, diamonds, and gems.",Leroy & Stitch
619,Red,Splodyhead,"A small red, six-legged reptilian dog-like experiment with a red-purple-striped horn on his head, brick-red markings on his forehead and back, short red-orange-tipped ears, blue eyes with red-purple spots around them and a hole-like nose. Designed to shoot fiery plasma blasts from his nose. His one true place is lighting luau torches. He comes over to Lilo's house when he overheated in ""Slushy"". He later helped fight Slushy with fire against ice. In the episode, Jumba erroneously refers to him as ""515"".","117, 127, Leroy and Stitch"
620,,Page,Designed to possess any other living being.,Leroy & Stitch
621,Green,Chopsuey,"A green, skinny Stitch look-alike with a spiky yellow mohawk and two prominent fangs jutting from his lower jaw. He has all of Stitch's powers and is jealous of all the attention Stitch gets. In the PlayStation 2 game Disney's Stitch: Experiment 626 he steals the DNA that Stitch collects for Jumba, mutating into a stronger form. The plot of this game has since been retconned from canon continuity due to the events depicting Stitch being apprehended immediately after his creation in Lilo & Stitch 2: Stitch Has A Glitch. However, 621 could still have the same physical appearance and personality. He is both very physical and well-equipped. His weapons include Jet-Pack, Grapple-Gun, rocket-launching Big Gun, and Freeze Gun. The second true prototype of Stitch but he does not appear in the series and has no record from Disney so 625 or Reuben takes this prototype number. He also has the strange ability to mutate when power is charged at most extreme. He is voiced by Frank Welker.","Disney's Stitch: Experiment 626, Leroy & Stitch"
622,,Jumby,"Designed to be Jumba's clone, but he is smaller than him and only speaks alien.",Leroy & Stitch
623,,Trainer,"Designed to retrain all Experiments who have lost or forgotten how to carry out their primary functions, and be a master of all combat skills but failed because though he knows all combat skills he only uses judo.",Leroy & Stitch
624,Purple,Angel,"A pink shapely female experiment with a strong feminine resemblance to Stitch and his primary love interest, with two long tendril-like violet-tipped antennae, violet-tipped ears, small eyelashes, white V-shaped symbol, slightly larger chest puffed out and dark pink Stitch-like back markings (originally upside-down heart-shaped or sometimes gone). Designed to sing a song that turns ""good"" experiments to ""bad"", though it also worked on Jumba. Stitch and Reuben are immune to her song's effect, as they were created after Angel. The spell can be reversed by Angel singing the song backwards or by playing a recording of her song in reverse. She is in love with Stitch and is the closest one to him. Experiment 625, Reuben, has feelings for her, calling her ""toots"", ""sweet lips"" and ""hotcakes"", but as for Angel, she rejected him. Angel was caught by Gantu after defecting from his side out love for Stitch but rescued in ""Snafu"". She is voiced by Tara Strong.","125, 215, 226, Leroy & Stitch, Stitch Jam, Stitch!"
625,Blue/Purple,Reuben,"A golden, koala/marmot-like experiment resembling a chubbier version of Stitch with short ears that flop down at the sides of his head, three small antennae that look like a tuft of fluffy fur, pointed fingers, short stumpy legs, hourglass-shaped marking on his back and two flat teeth sticking out of his mouth and overlapping his bottom lip (in the Disney Adventures Magazine Comics before Lilo & Stitch, he was blue). He is a prototype of Stitch; but while his powers, he is lazy, cowardly, and only makes sandwiches. Only referred to as 625 in the series and Stitch! The Movie, but was finally named Reuben by Lilo during Leroy & Stitch. He speaks English with a hint of a Brooklyn accent. Reuben serves as Gantu's wisecracking sidekick during the series. After receiving his name and working alongside Lilo in Leroy & Stitch, he found his one true place alongside a newly recommissioned (and redeemed) Captain Gantu as his Galley Officer.. He is voiced by Rob Paulsen.","Disney Adventures Magazine, Most episodes, Stitch! The Movie, Leroy & Stitch"
626,,Stitch,"A blue, koala-like experiment with large rabbit-like ears, a wide mouth, a round nose, black eyes, a small, short, stubby tail, two nose wrinkles, one chin wrinkle, three tuffs of sharp hair on top of his head and on his chest as well as two extra, retractable arms, three retractable spines that run down his back (the first spine is the shortest, then longest, then medium), sharp retractable claws on his front and back paws and two retractable antennae on his head. Designed to be abnormally strong, virtually indestructible, super intelligent and very mischievous. He can think faster than a supercomputer, he is fireproof and bulletproof, can spit acid, can hear in different hearing levels, can see in the dark, can jump really high, can climb up walls and walk on ceilings, can roll into a ball, have super sight and hearing and lift objects 3000 times his own weight (but not an ounce more). His only weakness is water, as he cannot swim due to his molecular density. When he becomes good, he has a heart of gold. His one true place is, of course, as Lilo's ""dog."" He is the first experiment to be created without Dr. Hämsterviel's funding. He is the most successful experiment Jumba has made. He's also the main character and hero in the series and in the movies. After learning of his older ""cousins"", he and his friend, Lilo, make it their mission to give them a new purpose beyond chaotic mayhem. He has a romantic relationship with Experiment 624, Angel and, later, acts like a brother to both her and Reuben. He is voiced by Chris Sanders. He is the first successful destructing experiment Jumba created after two failures: 600 and 625.",All episodes and movies and magazines
627,Red,Evile,"A red and yellow, conehead, purple-nosed, monstrous experiment that looks like a bigger, badder, and worse-mannered version of Stitch, with the same face expression, ear notches at the top of each ear, a wiry body, dark eyes, four extra retractable arms, four retractable spines that run down his back (the first and last spine are the shortest, the second spine is the longest, then medium), black sharp retractable claws on his front and back paws, retractable antennae, and an extra retractable head as well. He also have a type of Alien-like outstretchable mouth. He is the first experiment to be created on Earth with limited alien technology and without Dr. Hämsterviel's funding and serves as Stitch's bitter, villainous rival. Designed to have all the powers/strengths of Stitch and 20 other experiments, but none of their weaknesses, and absolutely no ability to turn to good. All 627 can say is ""evil"". 627 was mostly stronger and healthier than Stitch. 627's other powers include telekinesis, electrokinesis, plasma shoot and ice breath. His only apparent weakness is his loud, uncontrollable laughter. Even though seemingly ""indestructible"", 627 was outwitted and dehydrated back into an experiment pod by Stitch and Lilo, using a commercially available home food dehydrator, and he had been dehydrated for three years. After this, he did not appear again except for in a video recording in ""Mrs. Hasagawa's Cats/Ace"" and a dream sequence in ""Remmy"". He is also briefly mentioned in Leroy & Stitch. He is voiced by Chris Sanders. He is the only experiment to keep his number as a name since Lilo did not give him one.",123
628,Blue,,"Created with 627 or after Stitch defeated 627. Seen only in pod form at the end of ""627"" as Jumba locked it away in a vault, saying ""So much for experiment 627. Perhaps I will have better luck next time"".",123
629,,Leroy,"Stitch's evil twin, with red fur, frilly ears, yellow teeth, bent antennae, three bent spines on his back, a fluffy tail, and a slightly deeper voice as well as two extra, retractable arms and retractable claws on his front paws. Jumba started creating him from a template similar to Stitch, until Dr. Hämsterviel captured him and forced him to make a ""new version"" of 626. Designed to have all of Stitch's powers, but he also has the ability to disguise himself as Stitch by changing his fur color from red to blue (Dr. Hämsterviel hates the color blue, so he told Jumba to make him resplendent red to match his cape) and instantly regrow his fur. Leroy is very physical, but also makes liberal use of his plasma gun. After naming him ""Leroy"", Dr. Hämsterviel used a cloning machine to create an army, then sent the original Leroy down to Earth to capture the 624 experiments remaining there. Fortunately, Jumba secretly programmed a failsafe into Leroy before he was charged: If Leroy (or his clones) hears the song ""Aloha Oe"", his nervous system will shut down. After his defeat, Leroy and his clones are all placed in jail with Hämsterviel. Leroy's number is never mentioned in the movie. Jumba tries to call him ""627"" as mentioned on the Disney website, but Gantu reminds him that he's already made experiment 627. He is voiced by Chris Sanders. He and all his clones are sent to jail at the end of the movie, where they are seen happily dancing to ""Jailhouse Rock"".",
